channel,icbp_customer,fisc_yr_pd,bu,Sku,velocity,ea_cs,ea_gr,si_kg
MODERNO,CI,2017001,W SNACKS,65016.0,A,156.0,14.167152777777773,943.641
MODERNO,CI,2017001,W SNACKS,65018.0,A,72.0,23.00138888888889,407.395
MODERNO,CI,2017001,W SNACKS,65020.0,A,12.0,107.99166666666666,352.49300000000005
MODERNO,CI,2017001,W SNACKS,65021.0,A,12.0,107.99166666666666,10.368
MODERNO,CI,2017002,CEREAL,10012.0,B-Regular,24.0,299.99583333333334,3412.772
MODERNO,CI,2017002,CEREAL,10015.0,A,21.0,490.00952380952384,10249.134
MODERNO,CI,2017002,CEREAL,10018.0,A,97.0,839.9928571428572,0.0
MODERNO,CI,2017002,CEREAL,10214.0,B-Regular,28.0,309.99642857142857,1753.3619999999994
MODERNO,CI,2017002,CEREAL,10218.0,A,24.0,730.0,46288.314
MODERNO,CI,2017002,CEREAL,10233.0,A,21.0,490.00952380952384,8191.078000000001
MODERNO,CI,2017002,CEREAL,10250.0,B-Regular,24.0,499.99166666666673,6359.9360000000015
MODERNO,CI,2017002,CEREAL,10304.0,A,24.0,700.0083333333333,6837.732999999998
MODERNO,CI,2017002,CEREAL,10408.0,A,24.0,559.9958333333334,8037.168999999999
MODERNO,CI,2017002,CEREAL,10509.0,A,24.0,469.9958333333333,10749.884000000002
MODERNO,CI,2017002,CEREAL,10713.0,B-Regular,12.0,314.98333333333335,4766.3629999999985
MODERNO,CI,2017002,CEREAL,10837.0,C-Regular,52.0,159.99615384615387,1713.899
MODERNO,CI,2017002,CEREAL,10838.0,C-Regular,36.0,349.9972222222222,8706.61
MODERNO,CI,2017002,CEREAL,20002.0,B-Regular,21.0,490.00952380952384,3107.6700000000005
MODERNO,CI,2017002,CEREAL,20003.0,C-Regular,28.0,285.00357142857143,3215.992
MODERNO,CI,2017002,CEREAL,20015.0,C-Regular,24.0,330.0083333333333,1853.3420000000006
MODERNO,CI,2017002,CEREAL,20016.0,B-Regular,24.0,620.0041666666667,4389.673
MODERNO,CI,2017002,CEREAL,20043.0,B-Regular,20.0,775.01,4045.591
MODERNO,CI,2017002,CEREAL,20045.0,A,10.0,560.01,76906.30200000001
MODERNO,CI,2017002,CEREAL,20073.0,A,21.0,299.9952380952381,4517.102999999999
MODERNO,CI,2017002,CEREAL,20076.0,A,21.0,440.0047619047619,19275.107000000004
MODERNO,CI,2017002,CEREAL,20089.0,B-Regular,24.0,370.00000000000006,3978.27
MODERNO,CI,2017002,CEREAL,20135.0,C-Regular,24.0,299.99583333333334,2851.18
MODERNO,CI,2017002,CEREAL,20138.0,C-Regular,24.0,370.00000000000006,3170.1800000000007
MODERNO,CI,2017002,CEREAL,20141.0,C-Regular,21.0,530.0571428571428,3472.956000000001
MODERNO,CI,2017002,CEREAL,20156.0,A,14.0,744.992857142857,13193.961000000001
MODERNO,CI,2017002,CEREAL,20177.0,C-Regular,24.0,379.9958333333333,0.0
MODERNO,CI,2017002,OTHERS,10820.0,A,27.0,253.00370370370374,2261.116
MODERNO,CI,2017002,OTHERS,10821.0,A,27.0,253.00370370370374,1004.183
MODERNO,CI,2017002,SALTY,80000.0,A,14.0,136.9857142857143,3877.812
MODERNO,CI,2017002,SALTY,80007.0,A,14.0,136.9857142857143,2146.0249999999996
MODERNO,CI,2017002,SALTY,80014.0,A,14.0,136.9857142857143,2215.0699999999997
MODERNO,CI,2017002,SALTY,80024.0,A,12.0,37.00833333333333,532.884
MODERNO,CI,2017002,SALTY,80025.0,B-Regular,12.0,39.99166666666667,450.15299999999996
MODERNO,CI,2017002,SALTY,80026.0,A,12.0,39.99166666666667,527.899
MODERNO,CI,2017002,W SNACKS,60000.0,A,240.0,19.0,1098.958
MODERNO,CI,2017002,W SNACKS,60015.0,A,240.0,18.000000000000004,1710.7520000000002
MODERNO,CI,2017002,W SNACKS,60024.0,B-Regular,12.0,221.99166666666667,482.17900000000003
MODERNO,CI,2017002,W SNACKS,60035.0,B-Regular,72.0,36.99861111111111,287.713
MODERNO,CI,2017002,W SNACKS,60039.0,B-Regular,240.0,20.999583333333334,1239.8220000000001
MODERNO,CI,2017002,W SNACKS,60059.0,A,120.0,21.99916666666667,778.78
MODERNO,CI,2017002,W SNACKS,65000.0,A,120.0,39.99916666666667,873.596
MODERNO,CI,2017002,W SNACKS,65002.0,A,120.0,37.00166666666667,1562.9679999999996
MODERNO,CI,2017002,W SNACKS,65004.0,A,120.0,37.00166666666667,395.185
MODERNO,CI,2017002,W SNACKS,65005.0,A,120.0,39.99916666666667,830.3989999999999
MODERNO,CI,2017002,W SNACKS,65006.0,A,60.0,32.99833333333333,1875.013
MODERNO,CI,2017002,W SNACKS,65007.0,A,60.0,32.99833333333333,2183.88
MODERNO,CI,2017002,W SNACKS,65013.0,A,240.0,24.000833333333336,1290.288
MODERNO,CI,2017002,W SNACKS,65016.0,A,156.0,14.167152777777773,1164.2910000000002
MODERNO,CI,2017002,W SNACKS,65018.0,A,72.0,23.00138888888889,924.096
MODERNO,CI,2017002,W SNACKS,65020.0,A,12.0,107.99166666666666,504.117
MODERNO,CI,2017002,W SNACKS,65021.0,A,12.0,107.99166666666666,22.031
MODERNO,CI,2017003,CEREAL,10012.0,B-Regular,24.0,299.99583333333334,8510.334
MODERNO,CI,2017003,CEREAL,10015.0,A,21.0,490.00952380952384,8438.048999999999
MODERNO,CI,2017003,CEREAL,10018.0,A,97.0,839.9928571428572,0.0
MODERNO,CI,2017003,CEREAL,10214.0,B-Regular,28.0,309.99642857142857,6596.816999999999
MODERNO,CI,2017003,CEREAL,10218.0,A,24.0,730.0,159240.949
MODERNO,CI,2017003,CEREAL,10233.0,A,21.0,490.00952380952384,10202.937000000002
MODERNO,CI,2017003,CEREAL,10250.0,B-Regular,24.0,499.99166666666673,14759.873
MODERNO,CI,2017003,CEREAL,10304.0,A,24.0,700.0083333333333,10147.4
MODERNO,CI,2017003,CEREAL,10408.0,A,24.0,559.9958333333334,19904.759
MODERNO,CI,2017003,CEREAL,10509.0,A,24.0,469.9958333333333,31730.77899999999
MODERNO,CI,2017003,CEREAL,10713.0,B-Regular,12.0,314.98333333333335,3859.1990000000014
MODERNO,CI,2017003,CEREAL,10837.0,C-Regular,52.0,159.99615384615387,16.64
MODERNO,CI,2017003,CEREAL,10838.0,C-Regular,36.0,349.9972222222222,466.194
MODERNO,CI,2017003,CEREAL,20002.0,B-Regular,21.0,490.00952380952384,6976.820999999998
MODERNO,CI,2017003,CEREAL,20003.0,C-Regular,28.0,285.00357142857143,2234.4290000000005
MODERNO,CI,2017003,CEREAL,20015.0,C-Regular,24.0,330.0083333333333,2756.2509999999997
MODERNO,CI,2017003,CEREAL,20016.0,B-Regular,24.0,620.0041666666667,10014.407
MODERNO,CI,2017003,CEREAL,20043.0,B-Regular,20.0,775.01,7269.647
MODERNO,CI,2017003,CEREAL,20045.0,A,10.0,560.01,112052.57699999999
MODERNO,CI,2017003,CEREAL,20073.0,A,21.0,299.9952380952381,12039.307
MODERNO,CI,2017003,CEREAL,20076.0,A,21.0,440.0047619047619,15939.39
MODERNO,CI,2017003,CEREAL,20089.0,B-Regular,24.0,370.00000000000006,8134.135999999998
MODERNO,CI,2017003,CEREAL,20135.0,C-Regular,24.0,299.99583333333334,4240.767999999999
MODERNO,CI,2017003,CEREAL,20138.0,C-Regular,24.0,370.00000000000006,4173.629
MODERNO,CI,2017003,CEREAL,20141.0,C-Regular,21.0,530.0571428571428,6200.12
MODERNO,CI,2017003,CEREAL,20156.0,A,14.0,782.4964285714286,42794.333
MODERNO,CI,2017003,CEREAL,20177.0,C-Regular,24.0,379.9958333333333,0.0
MODERNO,CI,2017003,OTHERS,10820.0,A,27.0,253.00370370370374,2179.143
MODERNO,CI,2017003,OTHERS,10821.0,A,27.0,253.00370370370374,1605.3229999999999
MODERNO,CI,2017003,SALTY,80000.0,A,14.0,136.9857142857143,281.92199999999997
MODERNO,CI,2017003,SALTY,80007.0,A,14.0,136.9857142857143,504.38
MODERNO,CI,2017003,SALTY,80014.0,A,14.0,136.9857142857143,352.87600000000003
MODERNO,CI,2017003,SALTY,80024.0,A,12.0,37.00833333333333,260.219
MODERNO,CI,2017003,SALTY,80025.0,B-Regular,12.0,39.99166666666667,209.716
MODERNO,CI,2017003,SALTY,80026.0,A,12.0,39.99166666666667,399.279
MODERNO,CI,2017003,W SNACKS,60000.0,A,240.0,19.0,2134.075
MODERNO,CI,2017003,W SNACKS,60015.0,A,240.0,18.000000000000004,1036.813
MODERNO,CI,2017003,W SNACKS,60024.0,B-Regular,12.0,221.99166666666667,785.8770000000002
MODERNO,CI,2017003,W SNACKS,60035.0,B-Regular,72.0,36.99861111111111,1278.7089999999998
MODERNO,CI,2017003,W SNACKS,60039.0,B-Regular,126.0,73.49145833333333,1103.742
MODERNO,CI,2017003,W SNACKS,60059.0,A,120.0,21.99916666666667,1359.567
MODERNO,CI,2017003,W SNACKS,65000.0,A,120.0,39.99916666666667,1871.99
MODERNO,CI,2017003,W SNACKS,65002.0,A,120.0,37.00166666666667,2748.5209999999997
MODERNO,CI,2017003,W SNACKS,65004.0,A,120.0,37.00166666666667,1047.899
MODERNO,CI,2017003,W SNACKS,65005.0,A,120.0,39.99916666666667,1857.596
MODERNO,CI,2017003,W SNACKS,65006.0,A,60.0,32.99833333333333,2702.627
MODERNO,CI,2017003,W SNACKS,65007.0,A,60.0,32.99833333333333,1401.803
MODERNO,CI,2017003,W SNACKS,65013.0,A,240.0,24.000833333333336,2125.515
MODERNO,CI,2017003,W SNACKS,65016.0,A,156.0,14.233124999999998,2100.738
MODERNO,CI,2017003,W SNACKS,65018.0,A,72.0,23.00138888888889,834.6620000000001
MODERNO,CI,2017003,W SNACKS,65020.0,A,12.0,107.99166666666666,610.3820000000002
MODERNO,CI,2017003,W SNACKS,65021.0,A,12.0,107.99166666666666,32.399
MODERNO,CI,2017004,CEREAL,10012.0,B-Regular,24.0,299.99583333333334,3837.574
MODERNO,CI,2017004,CEREAL,10015.0,A,21.0,490.00952380952384,2346.1910000000003
MODERNO,CI,2017004,CEREAL,10018.0,A,97.0,839.9928571428572,0.0
MODERNO,CI,2017004,CEREAL,10214.0,B-Regular,28.0,290.00714285714287,9207.787
MODERNO,CI,2017004,CEREAL,10218.0,A,24.0,710.0041666666666,147132.308
MODERNO,CI,2017004,CEREAL,10233.0,A,21.0,470.00714285714287,22556.887
MODERNO,CI,2017004,CEREAL,10250.0,B-Regular,24.0,499.99166666666673,5639.9490000000005
MODERNO,CI,2017004,CEREAL,10304.0,A,24.0,700.0083333333333,5661.706
MODERNO,CI,2017004,CEREAL,10408.0,A,24.0,559.9958333333334,5631.394
MODERNO,CI,2017004,CEREAL,10509.0,A,24.0,469.9958333333333,10321.249
MODERNO,CI,2017004,CEREAL,10713.0,B-Regular,12.0,310.975,7326.228
MODERNO,CI,2017004,CEREAL,10837.0,C-Regular,52.0,159.99615384615387,41.6
MODERNO,CI,2017004,CEREAL,10838.0,C-Regular,36.0,349.9972222222222,995.4019999999999
MODERNO,CI,2017004,CEREAL,20002.0,B-Regular,21.0,490.00952380952384,2202.124
MODERNO,CI,2017004,CEREAL,20003.0,C-Regular,28.0,285.00357142857143,630.431
MODERNO,CI,2017004,CEREAL,20015.0,C-Regular,24.0,330.0083333333333,1188.0410000000002
MODERNO,CI,2017004,CEREAL,20016.0,B-Regular,24.0,620.0041666666667,6056.255
MODERNO,CI,2017004,CEREAL,20043.0,B-Regular,20.0,775.01,3565.075
MODERNO,CI,2017004,CEREAL,20045.0,A,10.0,560.01,86348.95700000001
MODERNO,CI,2017004,CEREAL,20073.0,A,21.0,299.9952380952381,6615.005
MODERNO,CI,2017004,CEREAL,20076.0,A,21.0,440.0047619047619,1312.111
MODERNO,CI,2017004,CEREAL,20089.0,B-Regular,24.0,370.00000000000006,3303.386
MODERNO,CI,2017004,CEREAL,20135.0,C-Regular,24.0,299.99583333333334,1151.994
MODERNO,CI,2017004,CEREAL,20138.0,C-Regular,24.0,370.00000000000006,3356.668
MODERNO,CI,2017004,CEREAL,20141.0,C-Regular,21.0,530.0571428571428,2526.798
MODERNO,CI,2017004,CEREAL,20156.0,A,14.0,782.4964285714286,24082.89
MODERNO,CI,2017004,CEREAL,20177.0,C-Regular,24.0,379.9958333333333,0.0
MODERNO,CI,2017004,OTHERS,10820.0,A,27.0,253.00370370370374,867.559
MODERNO,CI,2017004,OTHERS,10821.0,A,27.0,253.00370370370374,669.454
MODERNO,CI,2017004,SALTY,80000.0,A,14.0,136.9857142857143,132.33
MODERNO,CI,2017004,SALTY,80007.0,A,14.0,136.9857142857143,151.506
MODERNO,CI,2017004,SALTY,80014.0,A,14.0,136.9857142857143,97.80799999999999
MODERNO,CI,2017004,SALTY,80024.0,A,12.0,37.00833333333333,146.544
MODERNO,CI,2017004,SALTY,80025.0,B-Regular,12.0,39.99166666666667,119.49600000000001
MODERNO,CI,2017004,SALTY,80026.0,A,12.0,39.99166666666667,147.33399999999997
MODERNO,CI,2017004,W SNACKS,60000.0,A,126.0,66.5,136.79899999999998
MODERNO,CI,2017004,W SNACKS,60015.0,A,240.0,18.000000000000004,777.6080000000001
MODERNO,CI,2017004,W SNACKS,60024.0,B-Regular,12.0,221.99166666666667,335.664
MODERNO,CI,2017004,W SNACKS,60035.0,B-Regular,72.0,36.99861111111111,330.3350000000001
MODERNO,CI,2017004,W SNACKS,60039.0,B-Regular,240.0,20.999583333333334,307.439
MODERNO,CI,2017004,W SNACKS,60059.0,A,120.0,21.99916666666667,97.679
MODERNO,CI,2017004,W SNACKS,65000.0,A,120.0,39.99916666666667,28.801
MODERNO,CI,2017004,W SNACKS,65002.0,A,120.0,37.00166666666667,222.014
MODERNO,CI,2017004,W SNACKS,65004.0,A,120.0,37.00166666666667,97.685
MODERNO,CI,2017004,W SNACKS,65005.0,A,120.0,39.99916666666667,129.6
MODERNO,CI,2017004,W SNACKS,65006.0,A,60.0,32.99833333333333,403.908
MODERNO,CI,2017004,W SNACKS,65007.0,A,60.0,32.99833333333333,1700.776
MODERNO,CI,2017004,W SNACKS,65013.0,A,240.0,24.000833333333336,599.0630000000001
MODERNO,CI,2017004,W SNACKS,65016.0,A,156.0,14.29909722222222,247.09900000000002
MODERNO,CI,2017004,W SNACKS,65018.0,A,72.0,23.00138888888889,457.077
MODERNO,CI,2017004,W SNACKS,65020.0,A,12.0,107.99166666666666,129.594
MODERNO,CI,2017004,W SNACKS,65021.0,A,12.0,107.99166666666666,3.888
MODERNO,CI,2017005,CEREAL,10012.0,B-Regular,24.0,299.99583333333334,5968.757
MODERNO,CI,2017005,CEREAL,10015.0,A,21.0,490.00952380952384,4033.796
MODERNO,CI,2017005,CEREAL,10018.0,A,56.0,880.0035714285714,79123.931
MODERNO,CI,2017005,CEREAL,10214.0,B-Regular,28.0,290.00714285714287,1169.3240000000005
MODERNO,CI,2017005,CEREAL,10218.0,A,24.0,710.0041666666666,42046.788
MODERNO,CI,2017005,CEREAL,10233.0,A,21.0,470.00714285714287,0.0
MODERNO,CI,2017005,CEREAL,10250.0,B-Regular,24.0,499.99166666666673,0.0
MODERNO,CI,2017005,CEREAL,10304.0,A,24.0,700.0083333333333,8198.560000000001
MODERNO,CI,2017005,CEREAL,10408.0,A,24.0,559.9958333333334,14125.525
MODERNO,CI,2017005,CEREAL,10509.0,A,24.0,469.9958333333333,29880.852000000003
MODERNO,CI,2017005,CEREAL,10713.0,B-Regular,12.0,310.975,1168.035
MODERNO,CI,2017005,CEREAL,10837.0,C-Regular,52.0,159.99615384615387,133.12
MODERNO,CI,2017005,CEREAL,10838.0,C-Regular,36.0,349.9972222222222,1776.6029999999996
MODERNO,CI,2017005,CEREAL,20002.0,B-Regular,21.0,490.00952380952384,2726.9290000000005
MODERNO,CI,2017005,CEREAL,20003.0,C-Regular,28.0,285.00357142857143,1667.85
MODERNO,CI,2017005,CEREAL,20015.0,C-Regular,24.0,330.0083333333333,1829.581
MODERNO,CI,2017005,CEREAL,20016.0,B-Regular,24.0,620.0041666666667,8318.053
MODERNO,CI,2017005,CEREAL,20043.0,B-Regular,20.0,775.01,5363.109
MODERNO,CI,2017005,CEREAL,20045.0,A,10.0,560.01,0.0
MODERNO,CI,2017005,CEREAL,20073.0,A,21.0,299.9952380952381,8120.701999999998
MODERNO,CI,2017005,CEREAL,20076.0,A,21.0,440.0047619047619,7225.855
MODERNO,CI,2017005,CEREAL,20089.0,B-Regular,24.0,370.00000000000006,6384.767000000002
MODERNO,CI,2017005,CEREAL,20111.0,C-Regular,24.0,424.9958333333333,1550.406
MODERNO,CI,2017005,CEREAL,20112.0,C-Regular,24.0,409.99166666666673,1426.783
MODERNO,CI,2017005,CEREAL,20135.0,C-Regular,24.0,299.99583333333334,2779.179
MODERNO,CI,2017005,CEREAL,20138.0,C-Regular,24.0,370.00000000000006,3392.188
MODERNO,CI,2017005,CEREAL,20141.0,C-Regular,21.0,530.0571428571428,3806.895
MODERNO,CI,2017005,CEREAL,20156.0,A,14.0,744.992857142857,31112.720999999994
MODERNO,CI,2017005,CEREAL,20177.0,C-Regular,24.0,379.9958333333333,0.0
MODERNO,CI,2017005,OTHERS,10820.0,A,27.0,253.00370370370374,1318.418
MODERNO,CI,2017005,OTHERS,10821.0,A,27.0,253.00370370370374,976.8589999999999
MODERNO,CI,2017005,SALTY,80000.0,A,14.0,136.9857142857143,512.058
MODERNO,CI,2017005,SALTY,80007.0,A,14.0,136.9857142857143,542.738
MODERNO,CI,2017005,SALTY,80014.0,A,14.0,136.9857142857143,408.494
MODERNO,CI,2017005,SALTY,80024.0,A,12.0,37.00833333333333,212.712
MODERNO,CI,2017005,SALTY,80025.0,B-Regular,12.0,39.99166666666667,165.088
MODERNO,CI,2017005,SALTY,80026.0,A,12.0,39.99166666666667,163.64499999999995
MODERNO,CI,2017005,W SNACKS,60000.0,A,126.0,66.5,442.319
MODERNO,CI,2017005,W SNACKS,60015.0,A,240.0,18.000000000000004,691.209
MODERNO,CI,2017005,W SNACKS,60024.0,B-Regular,12.0,221.99166666666667,309.024
MODERNO,CI,2017005,W SNACKS,60035.0,B-Regular,72.0,36.99861111111111,639.3570000000002
MODERNO,CI,2017005,W SNACKS,60039.0,B-Regular,126.0,73.49145833333333,448.55400000000003
MODERNO,CI,2017005,W SNACKS,60059.0,A,120.0,21.99916666666667,161.03799999999995
MODERNO,CI,2017005,W SNACKS,65000.0,A,120.0,39.99916666666667,547.1990000000002
MODERNO,CI,2017005,W SNACKS,65002.0,A,120.0,37.00166666666667,337.461
MODERNO,CI,2017005,W SNACKS,65004.0,A,120.0,37.00166666666667,306.378
MODERNO,CI,2017005,W SNACKS,65005.0,A,120.0,39.99916666666667,551.9979999999998
MODERNO,CI,2017005,W SNACKS,65006.0,A,60.0,32.99833333333333,863.258
MODERNO,CI,2017005,W SNACKS,65007.0,A,60.0,32.99833333333333,914.735
MODERNO,CI,2017005,W SNACKS,65013.0,A,240.0,24.000833333333336,437.774
MODERNO,CI,2017005,W SNACKS,65016.0,A,156.0,14.29909722222222,281.942
MODERNO,CI,2017005,W SNACKS,65018.0,A,72.0,23.00138888888889,264.973
MODERNO,CI,2017005,W SNACKS,65020.0,A,12.0,107.99166666666666,177.54399999999995
MODERNO,CI,2017005,W SNACKS,65021.0,A,12.0,107.99166666666666,12.96
MODERNO,CI,2017006,CEREAL,10012.0,B-Regular,24.0,299.99583333333334,8495.936
MODERNO,CI,2017006,CEREAL,10015.0,A,21.0,490.00952380952384,10269.723999999998
MODERNO,CI,2017006,CEREAL,10018.0,A,16.0,740.00625,201781.422
MODERNO,CI,2017006,CEREAL,10214.0,B-Regular,28.0,290.00714285714287,10426.463000000002
MODERNO,CI,2017006,CEREAL,10218.0,A,24.0,690.0083333333333,69967.575
MODERNO,CI,2017006,CEREAL,10233.0,A,21.0,470.00714285714287,11000.083
MODERNO,CI,2017006,CEREAL,10250.0,B-Regular,24.0,499.99166666666673,0.0
MODERNO,CI,2017006,CEREAL,10304.0,A,24.0,700.0083333333333,13457.065
MODERNO,CI,2017006,CEREAL,10408.0,A,24.0,559.9958333333334,16101.218
MODERNO,CI,2017006,CEREAL,10509.0,A,24.0,469.9958333333333,18860.244000000006
MODERNO,CI,2017006,CEREAL,10713.0,B-Regular,12.0,310.975,3612.325
MODERNO,CI,2017006,CEREAL,10837.0,C-Regular,52.0,159.99615384615387,324.478
MODERNO,CI,2017006,CEREAL,10838.0,C-Regular,36.0,349.9972222222222,2419.198
MODERNO,CI,2017006,CEREAL,20002.0,B-Regular,21.0,490.00952380952384,4589.475
MODERNO,CI,2017006,CEREAL,20003.0,C-Regular,28.0,285.00357142857143,3870.3640000000014
MODERNO,CI,2017006,CEREAL,20015.0,C-Regular,24.0,330.0083333333333,2985.937
MODERNO,CI,2017006,CEREAL,20016.0,B-Regular,24.0,620.0041666666667,16174.833
MODERNO,CI,2017006,CEREAL,20043.0,B-Regular,20.0,775.01,4092.086000000001
MODERNO,CI,2017006,CEREAL,20045.0,A,10.0,560.01,73269.811
MODERNO,CI,2017006,CEREAL,20073.0,A,21.0,299.9952380952381,19441.825
MODERNO,CI,2017006,CEREAL,20076.0,A,21.0,440.0047619047619,20901.386000000002
MODERNO,CI,2017006,CEREAL,20089.0,B-Regular,24.0,370.00000000000006,11348.73
MODERNO,CI,2017006,CEREAL,20111.0,C-Regular,24.0,424.9958333333333,530.4010000000002
MODERNO,CI,2017006,CEREAL,20112.0,C-Regular,24.0,409.99166666666673,1613.741
MODERNO,CI,2017006,CEREAL,20135.0,C-Regular,24.0,299.99583333333334,5018.367
MODERNO,CI,2017006,CEREAL,20138.0,C-Regular,24.0,370.00000000000006,5407.9670000000015
MODERNO,CI,2017006,CEREAL,20141.0,C-Regular,21.0,530.0571428571428,7190.799
MODERNO,CI,2017006,CEREAL,20156.0,A,16.0,620.00625,48787.005
MODERNO,CI,2017006,CEREAL,20177.0,C-Regular,24.0,379.9958333333333,0.0
MODERNO,CI,2017006,OTHERS,10820.0,A,27.0,253.00370370370374,2035.6889999999999
MODERNO,CI,2017006,OTHERS,10821.0,A,27.0,253.00370370370374,1263.766
MODERNO,CI,2017006,SALTY,80000.0,A,14.0,136.9857142857143,473.6980000000001
MODERNO,CI,2017006,SALTY,80007.0,A,14.0,136.9857142857143,416.16600000000005
MODERNO,CI,2017006,SALTY,80014.0,A,14.0,136.9857142857143,565.7529999999999
MODERNO,CI,2017006,SALTY,80024.0,A,12.0,37.00833333333333,342.82499999999993
MODERNO,CI,2017006,SALTY,80025.0,B-Regular,12.0,39.99166666666667,265.385
MODERNO,CI,2017006,SALTY,80026.0,A,12.0,39.99166666666667,286.983
MODERNO,CI,2017006,W SNACKS,60000.0,A,240.0,19.0,706.7990000000002
MODERNO,CI,2017006,W SNACKS,60015.0,A,240.0,18.000000000000004,954.7310000000001
MODERNO,CI,2017006,W SNACKS,60024.0,B-Regular,12.0,221.99166666666667,937.7239999999999
MODERNO,CI,2017006,W SNACKS,60035.0,B-Regular,72.0,36.99861111111111,740.5880000000001
MODERNO,CI,2017006,W SNACKS,60039.0,B-Regular,240.0,20.999583333333334,297.35600000000005
MODERNO,CI,2017006,W SNACKS,60059.0,A,120.0,21.99916666666667,300.957
MODERNO,CI,2017006,W SNACKS,65000.0,A,120.0,39.99916666666667,652.799
